Date,Open,High,Low,Close,Volume
2018-03-12 04:00:00,716.92,723.86,713.08,721.62,1569.67
2018-03-12 03:00:00,723.85,725.0,713.05,716.92,3059.25
2018-03-12 02:00:00,722.3,725.0,721.0,723.85,1542.85
2018-03-12 01:00:00,722.98,731.0,720.0,722.3,4922.64
2018-03-12 00:00:00,719.79,723.63,719.79,722.98,2152.85
2018-03-11 23:00:00,721.01,722.38,715.2,719.79,1928.85
2018-03-11 22:00:00,719.02,726.0,718.14,721.01,5523.39
2018-03-11 21:00:00,723.03,723.03,718.4,719.02,1562.88
2018-03-11 20:00:00,728.53,728.53,715.06,723.03,2594.07
2018-03-11 19:00:00,727.57,728.53,724.41,728.53,2143.51
2018-03-11 18:00:00,729.56,735.0,725.72,727.57,3585.67
2018-03-11 17:00:00,710.35,732.0,710.04,729.56,4029.88
2018-03-11 16:00:00,701.25,714.86,701.25,710.35,1992.5
2018-03-11 15:00:00,713.01,716.55,701.25,701.25,2468.5
2018-03-11 14:00:00,709.71,718.45,709.1,713.01,2149.38
2018-03-11 13:00:00,712.16,722.66,709.02,709.71,2846.35
2018-03-11 12:00:00,706.23,719.37,705.91,712.16,2809.1
2018-03-11 11:00:00,690.06,707.0,683.89,706.23,2064.32
2018-03-11 10:00:00,687.94,690.69,682.8,690.06,1089.44
2018-03-11 09:00:00,695.54,695.99,684.0,687.94,1425.15
2018-03-11 08:00:00,691.01,697.02,690.27,695.54,1139.44
2018-03-11 07:00:00,698.94,698.98,686.72,691.01,1712.43
2018-03-11 06:00:00,697.83,699.81,694.96,698.94,1506.06
2018-03-11 05:00:00,681.68,698.93,680.5,697.83,3228.95
2018-03-11 04:00:00,682.0,682.5,678.01,681.68,2231.82
2018-03-11 03:00:00,683.09,683.09,672.36,682.0,2467.53
2018-03-11 02:00:00,676.42,683.33,673.05,683.09,3609.3
2018-03-11 01:00:00,666.27,681.99,666.26,676.42,6390.96
2018-03-11 00:00:00,683.6,683.6,666.0,666.27,6387.73
2018-03-10 23:00:00,690.78,692.08,682.3,683.6,2313.86
2018-03-10 22:00:00,682.2,691.86,680.2,690.78,3440.35
2018-03-10 21:00:00,690.12,690.12,681.0,682.2,5549.51
2018-03-10 20:00:00,715.8,715.8,688.82,690.12,6465.28
2018-03-10 19:00:00,712.21,717.56,700.01,715.8,2041.29
2018-03-10 18:00:00,716.7,716.88,702.57,712.21,4414.02
2018-03-10 17:00:00,736.76,737.0,716.0,716.7,3594.9
2018-03-10 16:00:00,734.63,737.06,732.59,736.76,1241.72
2018-03-10 15:00:00,740.88,740.92,732.46,734.63,1747.71
2018-03-10 14:00:00,728.98,741.63,728.98,740.88,1531.54
2018-03-10 13:00:00,729.0,731.17,724.08,728.98,742.62
2018-03-10 12:00:00,733.44,734.04,726.01,729.0,882.17
2018-03-10 11:00:00,728.06,734.11,726.5,733.44,810.16
2018-03-10 10:00:00,726.12,729.13,720.0,728.06,1036.97
2018-03-10 09:00:00,733.05,733.05,726.1,726.12,860.2
2018-03-10 08:00:00,732.22,737.1,730.23,733.05,845.11
2018-03-10 07:00:00,740.0,740.06,729.33,732.22,2219.0
2018-03-10 06:00:00,735.95,745.0,735.76,740.0,2059.2
2018-03-10 05:00:00,734.99,735.97,728.04,735.95,2623.26
2018-03-10 04:00:00,732.45,740.8,729.29,734.99,2531.99
2018-03-10 03:00:00,737.46,737.46,724.18,732.45,3788.83
2018-03-10 02:00:00,743.43,746.73,732.05,737.46,3925.22
2018-03-10 01:00:00,738.38,749.0,735.65,743.43,5990.37
2018-03-10 00:00:00,728.46,738.95,728.46,738.38,5379.93
2018-03-09 23:00:00,712.1,734.0,712.1,728.46,8115.68
2018-03-09 22:00:00,700.0,712.12,695.51,712.1,4759.33
2018-03-09 21:00:00,697.08,704.9,693.86,700.0,5859.24
